label,width,height,font_size,label_radius
Inna (Artyom's Teammate's Wife),539.40,34.80,29.0,270.26
Ira,45.00,30.00,25.0,27.04
Itelmen indigenous peoples,374.40,28.80,24.0,187.75
Jack London,165.00,30.00,25.0,83.85
Kamchatka police,345.60,43.20,36.0,174.14
"Katya's""girlfriends""",312.00,31.20,26.0,156.78
Katya's brothers,230.40,28.80,24.0,116.10
Katya's father,218.40,31.20,26.0,110.31
Katya's mother,201.60,28.80,24.0,101.82
Katya/Ekaterina,675.00,90.00,75.0,340.49
Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky,3110.40,129.60,108.0,1556.55
Koreans,100.80,28.80,24.0,52.42
Koryak indigenous peoples,360.00,28.80,24.0,180.58
Kostya,90.00,30.00,25.0,47.43
Kristina,268.80,67.20,56.0,138.54
Kristina's boyfriend,336.00,33.60,28.0,168.84
Kristina's cousin,367.20,43.20,36.0,184.87
Kristina's father,255.00,30.00,25.0,128.38
Kristina's mother,255.00,30.00,25.0,128.38
"Ksyusha, Alisa& Chegga's grandmother",734.40,40.80,34.0,367.77
Ksyusha/Ksenia Adukanov,2318.40,201.60,168.0,1163.57
Lada,180.00,90.00,75.0,100.62
Lada's father,195.00,30.00,25.0,98.65
Lada's mother,202.80,31.20,26.0,102.59
Lenin,75.00,30.00,25.0,40.39
lesbians,120.00,30.00,25.0,61.85
Lev,109.80,73.20,61.0,65.98
Lev's classmates (111),356.40,32.40,27.0,178.93
librarians (214),240.00,30.00,25.0,120.93
Lieutenant Ryakhovsky's supervisors,525.00,30.00,25.0,262.93
Lilia Solodikova,950.40,118.80,99.0,478.90
"Lilia's""classmates"" (74)",360.00,30.00,25.0,180.62
Lilia's father,218.40,31.20,26.0,110.31
Lilia's Kidnapping/Disappearance,1190.40,74.40,62.0,596.36
Malysh (Oksana's dog),567.00,54.00,45.0,284.78
man with crossbow injury,345.60,28.80,24.0,173.40
Margarita Anatolyevna,529.20,50.40,42.0,265.80
Marina Alexandrovna,2736.00,288.00,240.0,1375.56
Marina's colleagues,296.40,31.20,26.0,149.02
Marina's doctor (205),327.60,31.20,26.0,164.54
Marina's editor (205),340.20,32.40,27.0,170.87
Marina's Father,288.00,38.40,32.0,145.27
Marina's Friends,240.00,30.00,25.0,120.93
Marina's grandfather,324.00,32.40,27.0,162.81
Marina's grandmother,324.00,32.40,27.0,162.81
Marina's Mother,252.00,33.60,28.0,127.12
Marina's neighbours,285.00,30.00,25.0,143.29
Masha's family,210.00,30.00,25.0,106.07
"Masha's girlfriend/""roommate""",452.40,31.20,26.0,226.74
Masha's mother,210.00,30.00,25.0,106.07
Masha's parents,252.00,33.60,28.0,127.12
Masha/Mashenka Zakotnova,748.80,62.40,52.0,375.70
Max/Maxim,351.00,78.00,65.0,179.78
men convicted of sex crimes (207),475.20,28.80,24.0,238.04
migrants (generally),312.00,31.20,26.0,156.78
Mila's biological father,360.00,30.00,25.0,180.62
Mila/Ludmila,446.40,74.40,62.0,226.28
Minister of Defense,285.00,30.00,25.0,143.29
Misha (Anfisa's son),408.00,40.80,34.0,205.02
Misha's father,218.40,31.20,26.0,110.31
Nadia's father,378.00,54.00,45.0,190.92
Nadia/Nadezhda,865.20,123.60,103.0,436.99
Natasha's Cousin,230.40,28.80,24.0,116.10
Natasha/Natalia,1539.00,205.20,171.0,776.31
Native peoples of Kamchatka,469.80,34.80,29.0,235.54
News reporters,210.00,30.00,25.0,106.07
Nurgenek Festival Attendees,550.80,40.80,34.0,276.15
Nurgenek Festival organizers,453.60,32.40,27.0,227.38
Oceanographic Researchers,375.00,30.00,25.0,188.10
Oksana,345.60,115.20,96.0,182.15
Oksana's classmates,273.60,28.80,24.0,137.56
Oksana's colleagues,296.40,31.20,26.0,149.02
Oksana's Coworker,255.00,30.00,25.0,128.38
Oksana's father,234.00,31.20,26.0,118.04
Oksana's friends,240.00,30.00,25.0,120.93
Oksana's mother,243.00,32.40,27.0,122.58
Olya's Classmates,265.20,31.20,26.0,133.51
Olya's mother,288.60,44.40,37.0,146.00
Olya's teachers,225.00,30.00,25.0,113.50
Olya/Olga,394.20,87.60,73.0,201.91
orphan girl raised by wolves,403.20,28.80,24.0,202.11
people that Lilia dated,345.00,30.00,25.0,173.15
Petropavlovsk Police / Detectives,752.40,45.60,38.0,376.89
Petya,213.00,85.20,71.0,114.70
pregnant colleague,291.60,32.40,27.0,146.70
Putin,72.00,28.80,24.0,38.77
Reindeer herders,316.80,39.60,33.0,159.63
Revmira,327.60,93.60,78.0,170.35
Revmira and Gleb's Friends,390.00,30.00,25.0,195.58
Revmira's Father,268.80,33.60,28.0,135.45
Revmira's Friend (139),316.80,28.80,24.0,159.05
Revmira's Grandfather,302.40,28.80,24.0,151.88
Revmira's Mother,268.80,33.60,28.0,135.45
Rihanna,100.80,28.80,24.0,52.42
Romanovich,162.00,32.40,27.0,82.60
Ruslan,241.20,80.40,67.0,127.12
Russians (generally??),356.40,32.40,27.0,178.93
Sasha/Alexandra,342.00,45.60,38.0,172.51
Sberbank Manager (156-57),375.00,30.00,25.0,188.10
School Attendant (154-155),405.60,31.20,26.0,203.40
Sherlock Holmes,225.00,30.00,25.0,113.50
Slava Bychkov,312.00,48.00,40.0,157.84
Slava Bychkov's Aunt,300.00,30.00,25.0,150.75
Slava Bychkov's Brothers,374.40,31.20,26.0,187.85
Slava Bychkov's Parents,345.00,30.00,25.0,173.15
Slava's (ex) wife,255.00,30.00,25.0,128.38
Sophia Golosovsky,1417.80,166.80,139.0,713.79
staff at the Ministry of Internal Affairs (214),705.00,30.00,25.0,352.82
Stalin,90.00,30.00,25.0,47.43
Tajik ethnic group,270.00,30.00,25.0,135.83
Tatyana Yurievna,307.20,38.40,32.0,154.80
teenager whose appendix burst (139),504.00,28.80,24.0,252.41
teenagers (218),234.00,31.20,26.0,118.04
the cook,134.40,33.60,28.0,69.27
The dance troupe,470.40,58.80,49.0,237.03
The doctor,162.00,32.40,27.0,82.60
the Golosovsky girls' classmates (52),532.80,28.80,24.0,266.79
the Golosovsky girls' teachers,504.00,33.60,28.0,252.56
the kidnappER,280.80,43.20,36.0,142.05
the kidnappING,756.00,108.00,90.0,381.84
the Nalychevo group,342.00,36.00,30.0,171.94
Tolik,81.00,32.40,27.0,43.62
tour guides,158.40,28.80,24.0,80.50
tourists (generally),300.00,30.00,25.0,150.75
Travis Walton,218.40,33.60,28.0,110.48
Travis Walton's Friends,345.00,30.00,25.0,173.15
two cousins,158.40,28.80,24.0,80.50
two men (139),187.20,28.80,24.0,94.70
two other woman (212),315.00,30.00,25.0,158.21
Valentina Nikolaevna,1116.00,111.60,93.0,560.78
"Valentina's""colleague"" (48)",437.40,32.40,27.0,219.30
"Valentina's""peers""",259.20,28.80,24.0,130.40
Valentina's colleagues,330.00,30.00,25.0,165.68
Valentina's father (53),345.00,30.00,25.0,173.15
Valentina's grandmother (49),436.80,31.20,26.0,218.96
Valentina's Husband (name?),583.20,43.20,36.0,292.40
Valentina's mother (49),372.60,32.40,27.0,187.00
Vandals,113.40,32.40,27.0,58.97
Vanya,84.00,33.60,28.0,45.24
Vera Vasilievna (Gleb's Mother),520.80,33.60,28.0,260.94
Virgin Mary,158.40,28.80,24.0,80.50
Volodya,105.00,30.00,25.0,54.60
volunteer (221),243.00,32.40,27.0,122.58
waiter (158),187.20,31.20,26.0,94.89
Watson,86.40,28.80,24.0,45.54
Working men (172),306.00,36.00,30.0,154.06
Yegor Gusakov,624.00,96.00,80.0,315.67
Yegor's Friends,216.00,28.80,24.0,108.96
Yegor's uncle,195.00,30.00,25.0,98.65
Yevgeny Pavlovich Kulik (the major general),1212.60,56.40,47.0,606.96
Yulka/Yulia,363.00,66.00,55.0,184.48
Yuri,93.60,46.80,39.0,52.32
Zoya,184.80,92.40,77.0,103.31
Zoya's Coworkers (174),356.40,32.40,27.0,178.93
Zoya's first boyfriend,316.80,28.80,24.0,159.05
Zoya's Mother,195.00,30.00,25.0,98.65
Zoya's Mother's Partner,345.00,30.00,25.0,173.15
