Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Aloyna ,Sophia ,Yegor,Olya,Valentina,Katya,Ksyusha,Lada,Natasha,Revmira ,Oksana,Marina,Chegga ,Lilia,Alla
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,111,111,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,112,112,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,113,113,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,114,114,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,115,115,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,119,119,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,122,122,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,123,123,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,126,126,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,127,127,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,128,128,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,130,130,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,131,131,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,134,134,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,135,135,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,136,136,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,152,152,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,159,159,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,161,161,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,163,163,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,164,164,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,223,223,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,224,224,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,229,229,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,232,232,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,233,233,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,234,234,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,235,235,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,236,236,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,237,237,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,238,238,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,239,239,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,240,240,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,244,244,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,245,245,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,246,246,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,248,248,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,249,249,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,251,251,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
3,Lilia dissapears,2013-10-16,2013-10-16,T,3rd-person,252,252,,,,,,"Ksyusha describes Lilia as ""the Even girl who disappeared three years ago"" (73). According to her sister, Natasha, the disappearance occurred "" the fall before [Lilia] turned 19"" (113)",Lilia and Yegor,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,10,10,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,11,11,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,12,12,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,13,13,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,14,14,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,15,15,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,16,16,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,17,17,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,18,18,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,20,20,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,24,24,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,25,25,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,26,26,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,28,28,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,29,29,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,30,30,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,31,31,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,33,33,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,35,35,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,36,36,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,37,37,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,38,38,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,40,40,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,41,41,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,42,42,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,44,44,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,46,46,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,48,48,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,51,51,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,52,52,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,53,53,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,55,55,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,60,60,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,69,69,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,73,73,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,75,75,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,84,84,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,97,97,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,105,105,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,115,115,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
4,The Golosovsky Sisters are Kidnapped,2016-08-15,2016-08-15,T,3rd-person,121,121,,,,,,"In Yegor's car, Aloyna asks Yegor where he lives and he replies, ""You're going to see""(15)","Aloyna, Oksana, Sophia, and Yegor",T,T,T,F,F,F,F,F,F,F,T,F,F,F,F
