
"id","Description <br />(max 150 chars)","Novel <br />(choose)","Not Before<br />yyyy[-mm-dd]","Not After<br />yyyy[-mm-dd]","Duration<br />(days)","Preceding Event <br />(choose)","Explanation <br />(max 500 chars)"
"84","R Zvi and Rosa meet","Rowan's History of Love","1951-09-01","1951-11-01","1","R Zvi learns about his family's death","""I met Zvi in Valparaiso, in the fall of 1951"" (65)."
"85","R Zvi and Rosa finish translating The History of Love","Rowan's History of Love","1952-01-01","1952-12-31","1","R Zvi and Rosa meet","This event probably occurred ""sixteen years"" after ""1936"" (184)."
"86","R Zvi adds Leo's obituary to The History of Love","Rowan's History of Love","1954-01-01","1962-12-31","1","R Zvi and Rosa finish translating The History of Love","This event occurred years before The History of Love was published; the latest possible date of publication is 1964, and years (plural) indicates a minimum of two. I forget how we decided on 1954."
"87","R Zvi publishes The History of Love","Rowan's History of Love","1954-09-01","1964-01-01","1","R Zvi adds Leo's obituary to The History of Love","This event happened after he showed his manuscript to editors ""in the fall of 1954"" (68). I forget how we decided on 1964."
"88","E Alma Mereminski is born","Emma's The History of Love","1920-02-21","1920-02-21","1","_NO PRECEDING EVENT","""I knew her birthday was twenty-first of February (making her older than me by five months and twenty-eight days)""(28)"
"89","E Leo is born","Emma's The History of Love","1920-08-18","1920-08-18","1","E Alma Mereminski is born","""Leopold Gursky started dying on August 18, 1920"" (255)"
"90","E Leo and Alma fall in love","Emma's The History of Love","1930-00-00","1940-00-00","0","E Leo is born","""When they were ten he asked her to marry him"" (11) Alma and Leo were born in 1920, therefore when they were 10 the year would have been 1930. ""After she left, everything fell apart"" (8) ""In the summer of 1941 the Einsatzgruppen drove deeper east"" (12) Alma leaves before Slonim is invaded, therefore before 1941 and has Isaac in 1940, so she would have have to have left sometime before 1940."
"91","R Rosa destroys the manuscript of The History of Love","Rowan's History of Love","1954-09-01","1964-01-01","1","R Zvi publishes The History of Love","This event happened after the publication of The History of Love; re: 1964."
"92","R David Singer buys The History of Love","Rowan's History of Love","1971-01-01","1971-12-31","1","R Rosa destroys the manuscript of The History of Love","David was 22 when he bought it (176). He was 10 years older than Charlotte, and Charlotte is 41 when Alma is 15 (38).  Alma is born in 1985."
"93","R Charlotte and David meet","Rowan's History of Love","1975-01-01","1978-12-31","1","R David Singer buys The History of Love","Charlotte met David ""the summer before she started Oxford' (37-8)."
"94","R Zvi dies","Rowan's History of Love","1978-01-01","1978-12-31","1","R Charlotte and David meet","""...until his death in 1978..."" (68)."
"95","R Leo and Bruno reunite","Rowan's History of Love","1945-10-01","1998-01-01","1","R Alma refuses Leo's proposal","This event happened after Alma refuses Leo, but before the events of the book. Note: the date is closer to 1998 than 1945 because Bruno's ""hair was white and thin"" (6)."
"96","R Alma Singer is born","Rowan's History of Love","1985-09-14","1985-09-28","1","R Leo and Bruno reunite",""
"97","R David Singer dies","Rowan's History of Love","1992-09-14","1993-09-28","1","R Alma Singer is born","""MY FATHER DIED WHEN I WAS SEVEN"" (37)."
"98","R Alma Mereminski dies","Rowan's History of Love","1995-01-01","1995-12-31","1","R David Singer dies","She ""died five years ago"" (85). Leo narrates from the year 2000."
"99","R Alma becomes Misha's pen pal","Rowan's History of Love","1997-09-28","1998-02-28","1","R Alma Mereminski dies","""He was almost thirteen, five months older than I"" (98)."
"100","R Leo begins to write again","Rowan's History of Love","1998-01-01","1998-12-31","1","R Alma becomes Misha's pen pal","""A couple of months after my heart attack, fifty-seven years after I'd given it up, I started to write again"" (9)."
"101","R Charlotte receives Isaac's first letter","Rowan's History of Love","2000-02-01","2000-02-28","1","R Leo begins to write again","""...in the middle of last February a letter arrived..."" (55)."
"102","R Alma begins searching for Alma Mereminski","Rowan's History of Love","2000-07-14","2000-08-01","1","R Charlotte receives Isaac's first letter","""It was already the end of July"" (102)."
"103","R Alma and Misha kiss (for the second time ??)","Rowan's History of Love","2000-08-14","2000-09-01","1","R Alma begins searching for Alma Mereminski","""TWO WEEKS PASSED, MISHA AND I STILL HADN'T TALKED"" (143). Note: ""...the summer before, when we were thirteen and stood on the roof of his building, the tar soft under our feet, our tongues in each other's mouths..."" (141)."
"104","R Alma realises Alma Mereminski had married","Rowan's History of Love","2000-08-14","2000-09-01","1","R Alma and Misha kiss (for the second time ??)","This event happened after Alma and Misha kissed, but before September: ""I'll be fifteen next month"" (148)."
"105","R Alma reads Bird's journal","Rowan's History of Love","2000-08-15","2000-09-28","1","R Alma realises Alma Mereminski had married","This event happened before Alma's fifteenth birthday."
"106","R Alma realises Alma Mereminski has died","Rowan's History of Love","2000-08-16","2000-09-28","1","R Alma reads Bird's journal","This event happened before Alma's fifteenth birthday."
"107","R Alma realises Jacob Marcus is Isaac Moritz","Rowan's History of Love","2000-09-14","2000-09-30","1","R Alma realises Alma Mereminski has died","This event happened either on or after ""the morning of [Alma's] fifteenth birthday"" (194) but before she asked Herman to drive her to Isaac's house."
"108","R Leo sends WORDS FOR EVERYTHING to Isaac","Rowan's History of Love","2000-09-20","0000-00-00","1","R Alma realises Jacob Marcus is Isaac Moritz",""
"109","R Misha calls for Alma (exposing her search for someone to Bird)","Rowan's History of Love","2000-10-03","0000-00-00","1","R Alma and Herman go to Isaac's house (Alma leaves her phone number there)","""October 3"" (206)."
"110","R Alma and Herman go to Isaac's house (Alma leaves her phone number there)","Rowan's History of Love","2000-09-25","0000-00-00","1","R Leo sends WORDS FOR EVERYTHING to Isaac","""A week and a half later"" is ""October 5th"" (202)."
"111","R Isaac dies","Rowan's History of Love","2000-10-03","0000-00-00","1","R Misha calls for Alma (exposing her search for someone to Bird)","He died the ""Tuesday night"" (77) before ""Saturday, October 7"" (80)."
"112","R Leo learns of Isaac's death","Rowan's History of Love","2000-10-05","0000-00-00","1","R Isaac dies","He reads the article the day before Friday, October 6th (80)."
"113","R Alma learns of Isaac's death","Rowan's History of Love","2000-10-05","0000-00-00","1","R Leo learns of Isaac's death","""...October 5th..."" (202)"
"114","R Bernard calls for Alma (revealing Leo's identity to Bird)","Rowan's History of Love","2000-10-06","0000-00-00","1","R Alma learns of Isaac's death","""October 6"" (215)."
"115","R Bird sends the letters and The History of Love","Rowan's History of Love","2000-10-07","0000-00-00","1","R Bernard calls for Alma (revealing Leo's identity to Bird)","""October 7"" (218)."
"116","R Bird sends Leo and Alma letters [Obsolete]","Rowan's History of Love","2000-10-07","2000-10-17","1","R Bird sends the letters and The History of Love","This event happened before the day that Leo and Alma meet, which is October 17."
"117","R Leo attends Isaac's funeral","Rowan's History of Love","2000-10-07","0000-00-00","1","R Bird sends the letters and The History of Love","""A memorial service will be held Saturday, October 7, a 10 AM at Central Synagogue"" (80)."
"118","R Leo receives The History of Love","Rowan's History of Love","2000-10-07","0000-00-00","1","R Leo attends Isaac's funeral","Pg. 92."
"119","R Leo leaves to retrieve WORDS FOR EVERYTHING","Rowan's History of Love","2000-10-09","0000-00-00","1","R Leo receives The History of Love",""
"121","R Alma receives Bird's letter","Rowan's History of Love","2000-10-10","2000-10-17","1","R Leo leaves to retrieve WORDS FOR EVERYTHING",""
"122","R Leo learns that Isaac had published WORDS FOR EVERYTHING","Rowan's History of Love","2000-10-17","0000-00-00","1","R Alma receives Bird's letter","Pg. 211."
"123","R Leo finds Bird's letter","Rowan's History of Love","2000-10-17","0000-00-00","1","R Leo learns that Isaac had published WORDS FOR EVERYTHING","Pg. 212."
"124","R Alma and Leo meet","Rowan's History of Love","2000-10-21","0000-00-00","1","R Leo finds Bird's letter","After 4:00PM (212)."
"125","R Alma realises Leo wrote The History of Love","Rowan's History of Love","2000-10-21","0000-00-00","1","R Alma and Leo meet",""
"126","E Zvi sees Leo and Alma kiss","Emma's The History of Love","1936-00-00","1936-00-00","1","E Leo and Alma fall in love","""early in the summer of 1936"" (184)"
"127","E Alma leaves for America","Emma's The History of Love","1940-01-00","1940-05-00","0","E Zvi sees Leo and Alma kiss","""the woman who had been a girl got on a boat to America and threw up the whole way, not because she was seasick but because she was pregnant""(12) Isaac was born after October 8 1940 and before November 1 1940, and as morning sickness occurs in the first trimester, Alma would have been getting sick between January and May of 1940"
"128","E Isaac is born","Emma's The History of Love","1940-10-08","1940-11-01","1","E Alma leaves for America","Isaac ""was 60"" when he died (77) which was October 7th 2000, and accounting for Leo and Alma's birthdays, he would have been born between October 8th and November"
"129","E Zvi steals Leo's obituary","Emma's The History of Love","1940-00-00","1941-07-00","1","E Isaac is born",""" they discussed the movements of Hitler's armies"" (113) ""Because Litvinoff didn't know many people there"" (112) indicates they are not in Slonim, therefore before Leo is laid off and returns home, and it is before Slonim's invasion."
"130","E Leo completes 'The History of Love'","Emma's The History of Love","1940-00-00","1941-07-00","1","E Zvi steals Leo's obituary","""I read the pages of the book that I had written as a young man.... A twenty-year-old in love"" (121) which would make the year 1940 and Leo stops writing when Slonim is invaded in 1941"
"131","E Zvi leaves with 'The History of Love'","Emma's The History of Love","1941-01-00","1941-07-00","0","E Leo completes 'The History of Love'","Leo gives Zvi ""The History of Love"" ""the day [Zvi] left Poland"" (111) and ""Zvi...moved to Chile in 1941"" (74) before Slonim was invaded."
"132","E Nazis invade Slonim","Emma's The History of Love","1941-07-00","1941-07-00","0","E Zvi leaves with 'The History of Love'","""In the summer of 1941....On a bright hot day in July they entered Slonim"" (12)"
"133","E Leo escapes the Nazis","Emma's The History of Love","1941-07-00","1945-02-00","0","E Bruno dies","""having hidden for three and a half years"" (13): July 1941-January 1945 is 3.5 years, and when Leo arrives in America ""He was twenty-five years old"" (13) which would make the year 1945"
"134","E Leo leaves for America","Emma's The History of Love","1945-01-00","1946-10-00","0","E Leo escapes the Nazis","Leo hides for 3.5 years and finds Alma in America when Isaac is 5 years old"
"135","E Alma refuses Leo's proposal","Emma's The History of Love","1945-10-00","1946-08-18","1","E Leo leaves for America","The novel states that  Leo ""was twenty-five years old"" (13) and Isaac was ""now five"" (13) therefore it is after Isaac turns 5 in October and before Leo's 26th birthday"
"136","E Zvi learns about his family's death","Emma's The History of Love","1945-09-02","1951-00-00","1","E Alma refuses Leo's proposal","""The War ended"" (156) World War II ended on September 1st 1945 before Zvi ""learned what had happened"" (156) to his family and before he met Rosa ""in the fall of 1951"" (65)"
"137","E Zvi and Rosa meet","Emma's The History of Love","1951-08-00","1951-12-00","1","E Zvi learns about his family's death","""I met Zvi in Valparaiso, in the fall of 1951"" (65)"
"138","E Zvi and Rosa finish translating 'The History of Love'","Emma's The History of Love","1952-00-00","1952-00-00","1","E Zvi and Rosa meet","""In the summer of 1936...sixteen years later he watched as another chapter of the book written by Gursky reappeared in his own longhand"" (184-185) 1936 plus 16 years would make it 1952"
"139","E Zvi adds Leo's obituary to 'The History of Love'","Emma's The History of Love","1954-00-00","1964-00-00","1","E Zvi and Rosa finish translating 'The History of Love'","Added after ""The History of Love"" was shown to publishers ""in the fall of 1954"" (68) and before it was published (before 1964) ""a postcard from 1964....By then the 'History' had been published"" (67)"
"140","E Zvi publishes 'The History of Love'","Emma's The History of Love","1954-00-00","1964-00-00","1","E Zvi adds Leo's obituary to 'The History of Love'","""The History of Love"" was shown to publishers ""in the fall of 1954"" (68) and published before 1964 ""a postcard from 1964....By then the 'History' had been published"" (67)"
"141","E Rosa destroys the manuscript","Emma's The History of Love","1954-00-00","1964-00-00","1","E Zvi publishes 'The History of Love'","Rosa receives ""the letter addressed to Litvinoff ...a few months after the publication of 'The History of Love''"" (189) and then destroys the manuscript ""[s]ome months later"" (189)"
"142","E David Singer buys 'The History of Love'","Emma's The History of Love","1971-00-00","1971-00-00","1","E Rosa destroys the manuscript","""David Singer found The History of Love...when he was twenty-two"" (175-176). He is 10 years older than Charlotte ""he was ten years older than she was"" (38) and Charlotte is 41 when Alma is 15 ""even now at forty-one...fifteen"" (38) If Alma was born in 1985 then she is 15 and Charlotte is 41 in 2000, therefore Charlotte was born in 1959, and being ten years younger, David was born in 1949. So when David was 22 years old the year was 1971."
"143","E Charlotte and David meet","Emma's The History of Love","1975-00-00","1979-00-00","1","E David Singer buys 'The History of Love'","They met ""the summer before she started Oxford"" (37-38)"
"144","E Zvi dies","Emma's The History of Love","1978-00-00","1978-00-00","1","E Charlotte and David meet","""until his death in 1978"" (68)"
"145","E Leo and Bruno reconnect","Emma's The History of Love","1945-10-00","1998-00-00","1","E Zvi dies","*The date would have been close to 1998 as Leo states that Bruno's ""hair was thin and white"" (6) indicating Bruno and Leo's old age* They meet after Leo sees Alma M. when Isaac is five (after October 1945) and they have already reconnected by the time of Leo's heart attack (1998)"
"146","E Alma Singer is born","Emma's The History of Love","1985-09-14","1985-09-28","1","E Leo and Bruno reconnect","Isaac was born in 1940 and died at 60 in the narrative present, which would make the narrative present or telling time in the year 2000, therefore, if Alma is 15 in 2000, she would have been born in 1985. Alma's birthday is in late September: ""[t]he rain started near the end of September, a few days before my birthday""(193) and she writes ""The morning of my fifteenth birthday"" (194) before Bird's journal entry dated ""September 28"" (203)."
"147","E David Singer dies","Emma's The History of Love","1992-09-00","1993-09-00","1","E Alma Singer is born","Alma states ""my father died when I was seven"" (37)"
"148","E Alma Mereminski dies","Emma's The History of Love","1995-00-00","1995-00-00","1","E David Singer dies","Leo states that Alma ""died five years ago"" (85) narrated the same year that Isaac died which is 2000"
"149","E Misha and Alma become penpals","Emma's The History of Love","1997-09-00","1998-02-00","1","E Alma Mereminski dies","When Alma receives ""Misha's first letter"" he is ""almost thirteen, five months older than [her]"" (98)"
"150","E Leo begins to write again","Emma's The History of Love","1998-00-00","1998-00-00","1","E Misha and Alma become penpals","""A couple of months after my heart attack, fifty-seven years after I'd given it up, I started to write again""(9)"
"151","E Charlotte receives Isaac's first letter","Emma's The History of Love","2000-02-00","2000-02-00","1","E Leo begins to write again","""in the middle of last February a letter arrived"" (55)"
"152","E Alma begins searching for Alma Mereminski","Emma's The History of Love","2000-07-14","2000-08-01","1","E Charlotte receives Isaac's first letter","""It was already the end of July....The next day his letter came"" (102)"
"153","E Alma and Misha kiss","Emma's The History of Love","2000-08-14","2000-09-01","1","E Alma begins searching for Alma Mereminski","Alma states that ""IT WAS ALMOST THE END OF AUGUST"" (141) as well as ""Ill be fifteen next month""(148)"
"154","E Alma realizes Alma Mereminski is married","Emma's The History of Love","2000-08-14","2000-10-00","1","E Alma and Misha kiss","Happens after Alma and Misha kiss but before Alma's 15th birthday"
"155","E Alma reads Bird's journal","Emma's The History of Love","2000-08-14","2000-10-00","1","E Alma realizes Alma Mereminski is married","After she realizes Alma is married but before she turns fifteen"
"156","E Alma discovers that Alma Mereminski has died","Emma's The History of Love","2000-08-14","2000-10-00","1","E Alma reads Bird's journal","After she reads Bird's journal but before she turns fifteen"
"157","E Alma discovers Jacob Marcus is Isaac Moritz","Emma's The History of Love","2000-09-00","2000-11-00","1","E Alma discovers that Alma Mereminski has died","After she turns fifteen but before she and Herman go to Isaac's house"
"158","E Leo sends Isaac 'WORDS FOR EVERYTHING'","Emma's The History of Love","2000-09-20","2000-09-20","1","E Alma discovers Jacob Marcus is Isaac Moritz","Leo models in the art class on ""September 19th"" (15) and delivers ""Words for Everything"" the next day ""at 8:45"" (34)"
"159","E Bird learns about Alma's search","Emma's The History of Love","2000-10-03","2000-10-03","1","E Alma and Herman go to Isaac's house","In Bird's journal entry titled ""October 3"" (206) Bird answers a call from Misha who asks if Alma ""ever found the person she was looking for"" (207)"
"160","E Alma and Herman go to Isaac's house","Emma's The History of Love","2000-09-24","2000-09-25","1","E Leo sends Isaac 'WORDS FOR EVERYTHING'","""a week and a half later"" is ""October 5th"" (202)"
"161","E Isaac dies","Emma's The History of Love","2000-10-03","2000-10-03","1","E Bird learns about Alma's search","""Isaac Moritz...died Tuesday night"" (77) ""A memorial service will be held Saturday, October 7"" (80)"
"162","E Leo finds out about Isaac's death","Emma's The History of Love","2000-10-05","2000-10-05","1","E Isaac dies","The day after Leo reads the newspaper "" was Friday"" (80) and the funeral is held the next day, listed in the obituary as ""October 7"" (80)"
"163","E Alma learns of Isaac's death","Emma's The History of Love","2000-10-05","2000-10-05","1","E Leo finds out about Isaac's death","""I remember the date- October 5th"" Charlotte tells Alma there is ""an obituary for [Isaac] in the paper"" (202)"
"164","E Bernard calls for Alma (revealing Leo's identity to Bird)","Emma's The History of Love","2000-10-06","2000-10-06","1","E Alma learns of Isaac's death","In Bird's journal entry ""October 6"" (215) his phone call with Bernard is detailed (216)"
"165","E Bird sends Leo 'The History of Love' and letters to Leo and Alma","Emma's The History of Love","2000-10-07","2000-10-07","1","E Bernard calls for Alma (revealing Leo's identity to Bird)","Under his entry ""October 7"" Bird writes: ""I went to her study and printed out The History of Love. I put it in a brown envelope and on the front I wrote FOR LEOPOLD GURSKY....I hid the envelope with The History of Love under my jacket, and went out the door"" (218) and he sends the letters after finds out that Alma is searching for someone and sometime before Leo receives his letter on ""October 17th"" (211)"
"166","E Bird sends Alma and Leo letters","Emma's The History of Love","2000-10-07","2000-10-17","1","E Bird sends Leo 'The History of Love' and letters to Leo and Alma","He sends the letters after finds out that Alma is searching for someone and sometime before Leo receives his letter on ""October 17th"" (211)"
"167","E Leo attends Isaac's funeral","Emma's The History of Love","2000-10-07","2000-10-07","1","E Bird sends Leo 'The History of Love' and letters to Leo and Alma","""A memorial service will be held Saturday, October 7th"" (80)"
"168","E Leo recieves 'The History of Love'","Emma's The History of Love","2000-10-07","2000-10-07","1","E Leo attends Isaac's funeral","After Leo gets home from Isaac's funeral he finds ""a large brown envelope"" and realizes it is The History of Love (92)"
"169","E Leo goes to Isaac's house to retrieve 'Words for Everything'","Emma's The History of Love","2000-10-11","2000-10-11","1","E Leo recieves 'The History of Love'","""Five days after the brown envelope had arrived on my doorstep with the pages of the book I'd written half a century ago, I was on my way to get back the book I'd written half a century later. Or, to say it differently: a week after my son died, I was on my way to his house"" (161)"
"170","E Alma receives Bird's letter","Emma's The History of Love","2000-10-14","2000-10-18","1","E Leo goes to Isaac's house to retrieve 'Words for Everything'","A few days before she meets up with Leo: ""for a few days between the time that I received the letter and the time I went to meet whoever had sent it"" (233), the Saturday after October 17th 2000 is October 21st"
"171","E Leo receives Bird's letter","Emma's The History of Love","2000-10-17","2000-10-17","1","E Leo learns that Isaac published 'Words for Everything'","""October 17th"" (211)"
"172","E Alma and Leo meet","Emma's The History of Love","2000-10-21","2000-10-21","1","E Leo receives Bird's letter","""Please meet me at 4:00 on Saturday"" (212) the Saturday after October 17th 2000 is October 21st"
"173","E Alma realizes that Leo wrote 'The History of Love'","Emma's The History of Love","2000-10-21","2000-10-21","1","E Alma and Leo meet","""And then I realized that I had been searching for the wrong person"" (251)"
"174","R Bruno dies","Rowan's History of Love","1941-07-01","1941-07-01","1","R The Nazis invade Slonim","""He died on a July dat in 1941"" (249)."
"175","E Bruno dies","Emma's The History of Love","1941-07-00","1941-07-00","1","E Nazis invade Slonim",""" He died on a July day in 1941"" (249)"
"176","E Leo learns that Isaac published 'Words for Everything'","Emma's The History of Love","2000-10-17","2000-10-17","1","E Alma receives Bird's letter","""October 17th"" (211)"
"178","","_CHOOSE A NOVEL","0000-00-00","0000-00-00","0","_CHOOSE AN EVENT",""
"179","Damuddy's death","The Sound and the Fury","1900-00-00","1900-00-00","0","_NO PRECEDING EVENT","(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk"
"180","Changing Benjamin's name","The Sound and the Fury","1900-00-00","1900-00-00","0","Damuddy's death","(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk"
"181","Caddy wears perfume, which upsets Benjamin","The Sound and the Fury","1906-00-00","1906-00-00","0","Changing Benjamin's name","Dates collected from Ross and Polk"
"182","Patterson Affair","The Sound and the Fury","1908-03-00","1909-00-00","287","Caddy wears perfume, which upsets Benjamin","Benjy first delivers a letter to Mrs. Patterson when ""Mr Patterson was chopping in the green flowers"" and then with Caddy around Christmas time: ""'It's a Christmas present. Caddy said"" (13)"
"183","Benjamin's pasture sold so Quentin can go to Harvard","The Sound and the Fury","1909-00-00","1909-00-00","0","Patterson Affair","Dates collected from Ross and Polk"
"184","Caddy and Charlie hook up","The Sound and the Fury","1909-00-00","1909-00-00","0","Benjamin's pasture sold so Quentin can go to Harvard","Dates collected from Ross and Polk"
"185","Quentin sees Caddy and Dalton","The Sound and the Fury","1909-00-00","1909-00-00","0","Caddy and Charlie hook up","Dates collected from Ross and Polk"
"186","Quentin confronts Caddy at the creek","The Sound and the Fury","1909-00-00","1909-00-00","0","Quentin sees Caddy and Dalton","Dates collected from Ross and Polk"
"187","Quentin confronts Dalton","The Sound and the Fury","1909-08-00","1909-09-00","0","Quentin confronts Caddy at the creek","Dates collected from Ross and Polk"
"188","Quentin tells his father he has committed incest","The Sound and the Fury","1909-08-00","1909-09-00","0","Quentin confronts Dalton","Dates collected from Ross and Polk"
"189","Herbert Head promises Jason a bank job","The Sound and the Fury","1910-00-00","1910-04-23","0","Quentin tells his father he has committed incest","Dates collected from Ross and Polk, this happens before Quentin meets Herbert: ""Quentin this is Herbert....has already promised Jason....""(93)"
"190","Quentin recieves Caddy and Herbert's wedding announcement","The Sound and the Fury","1910-00-00","1910-04-23","0","Herbert Head promises Jason a bank job","Dates collected from Ross and Polk"
"191","Quentin meets Herbert Head","The Sound and the Fury","1910-04-23","1910-04-23","0","Quentin recieves Caddy and Herbert's wedding announcement","Dates collected from Ross and Polk"
"192","The night before Caddy's wedding and Quentin confronts Herbert Head","The Sound and the Fury","1910-04-24","1910-04-24","0","Quentin meets Herbert Head","Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)"
"193","Caddy and Herbert's Wedding","The Sound and the Fury","1910-04-25","1910-04-25","0","The night before Caddy's wedding and Quentin confronts Herbert Head","Dates collected from Ross and Polk, ""Mr. and Mrs. Jason Richmond Compson announce the marriage of their daughter Candace to Mr. Sydney Herbert Head on the twenty-fifth of April one thousand nine hundred and ten"" (93)"
"194","Quentin commits suicide","The Sound and the Fury","1910-06-02","1910-06-02","0","Caddy and Herbert's Wedding","All the events leading up to Quentin's suicide occur in the section of the novel titled ""June Second, 1910."""
"195","Benjamin attacks a girl and is castrated","The Sound and the Fury","1910-00-00","1910-00-00","0","Quentin commits suicide","Occurs after Caddy's wedding, Benjy is trying to talk to the school girls about how much he misses Caddy ""I tried to say, but they went on, and I went along the fence, trying to say, and they went faster.... How did he get out, Father said."" (52)"
"196","Herbert Head divorces Caddy","The Sound and the Fury","1911-00-00","1911-00-00","0","Benjamin attacks a girl and is castrated","As stated in Faulkner's appendix ""Divorced by him 1911."""
"197","Jason loses bank job","The Sound and the Fury","1911-00-00","1911-00-00","0","Herbert Head divorces Caddy","Jason loses the bank job that Herbert promised because of the divorce: ""'Oh', she says, 'that job'. I'm sorry about that, Jason"" (202)"
"198","Quentin Jr. gets sent to live with the Compsons","The Sound and the Fury","1911-00-00","1912-00-00","0","Jason loses bank job","Quentin is born in November 1911, as she is seventeen in 1928 when she runs away from the Compsons, and the appendix states that Caddy was ""two months pregnant with another man's child...when she married"" at the end of April in 1910. She is sent to the Compsons when she is still a baby: ""Dilsey get that old cradle out of the attic"" (198)"
"199","Jason Compson III's funeral","The Sound and the Fury","1912-00-00","1912-00-00","0","Quentin Jr. gets sent to live with the Compsons","Dates collected from Ross and Polk"
"200","Caddy pays Jason to see Quentin Jr.","The Sound and the Fury","1912-00-00","1912-00-00","0","Jason Compson III's funeral","Occurs at and after the funeral: ""I was pretty near there, standing there in a black cloak, looking at the flowers. I knew who it was right off, before she turned and looked at me and lifted up her veil."" (202)"
"201","Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows","The Sound and the Fury","1912-00-00","1912-00-00","0","Caddy pays Jason to see Quentin Jr.","Occurs within the same time as Caddy paying Jason and the funeral: "" I made Dilsey own up"" (207)"
"202","The Compson family visits the cemetery without Jason","The Sound and the Fury","1912-00-00","1913-00-00","0","Caddy visits Jason's office","Dates collected from Ross and Polk"
"203","Caddy visits Jason's office","The Sound and the Fury","1912-00-00","1913-00-00","0","Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows","Occurs the day after the funeral: ""the next morning dam if she didn't walk right into the store, only she had sense enough to wear the veil and not speak to anybody. It was Saturday morning, because I was at the store, and she came right on back to the desk where I was, walking fast"" (205)"
"204","Roskus dies","The Sound and the Fury","1915-00-00","1915-00-00","0","The Compson family visits the cemetery without Jason","Dates collected from Ross and Polk"
"205","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","The Sound and the Fury","1928-04-06","1928-04-07","0","Roskus dies","Occurs in the section ""April Sixth, 1928."""
